injection_rate,traffic_pattern,0_1,0_2,0_3,0_4,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4,3_1,3_2,3_3,3_4,latency
0.1,1,13,0,8,2,15,3,4,7,5,14,1,10,12,11,9,6,2040.94
0.1,1,13,3,14,5,0,15,6,1,2,8,11,10,12,4,9,7,2022.75
0.1,1,6,12,7,3,5,13,11,14,2,9,1,4,8,10,0,15,2049.19
0.1,1,9,6,12,11,10,3,15,14,4,7,2,13,8,1,0,5,2042.31
0.1,1,9,10,4,6,5,11,12,5,0,3,15,8,13,7,1,14,2038.64
0.1,1,6,0,4,9,10,5,13,8,14,2,7,15,3,12,1,11,2041.3
0.1,1,11,13,14,1,4,10,15,7,9,3,12,0,6,2,5,8,2055.54
0.1,1,11,12,1,4,9,2,10,8,0,6,15,13,7,3,5,14,2118.48
0.1,1,6,3,13,14,4,1,2,7,8,9,0,11,10,12,5,15,1976.04
0.1,1,6,15,8,5,14,4,2,10,12,0,9,13,3,1,11,7,2098.19
0.001,1,9,3,10,2,13,8,12,7,11,1,5,0,4,6,14,15,8.66
0.001,1,12,3,1,7,0,5,13,2,10,15,9,11,8,6,14,4,8.79
0.001,1,10,9,14,11,2,4,1,7,0,8,12,13,5,6,3,15,9.15
0.001,1,14,9,4,1,2,12,3,0,7,15,5,8,10,11,6,13,8.98
0.001,1,10,13,4,3,2,14,1,11,0,6,12,15,8,5,7,9,9.63
0.001,1,15,7,10,12,8,13,5,4,14,9,1,0,2,11,3,6,6.72
0.001,1,2,14,1,5,15,13,9,12,7,4,10,6,8,0,3,11,8.44
0.001,1,6,11,4,15,10,3,14,5,0,2,12,13,8,7,1,9,10.5
0.001,1,10,8,14,6,2,1,3,7,0,5,12,9,13,11,4,15,8.76
0.001,1,0,9,14,5,2,1,10,7,4,6,12,3,8,13,11,15,8.85
0.01,1,7,9,12,5,0,2,6,4,3,8,11,10,13,1,14,15,352.21
0.01,1,11,0,6,9,14,13,1,7,4,10,3,12,2,8,5,15,248.18
0.01,1,9,11,13,6,8,1,10,3,7,4,2,0,12,5,14,15,149.01
0.01,1,9,1,7,8,0,13,4,6,5,2,15,12,3,11,10,14,231.52
0.01,1,3,8,4,10,9,15,6,2,11,7,12,14,5,0,13,1,315.01
0.01,1,0,1,10,9,14,2,13,8,6,7,15,5,3,11,12,4,489.47
0.01,1,0,15,10,5,8,11,6,14,3,4,1,13,2,7,9,12,337.21
0.01,1,0,3,12,7,11,8,10,2,6,9,5,15,1,13,4,14,288.63
0.01,1,15,7,9,5,8,3,13,1,2,6,12,11,4,0,14,10,166.65
0.01,1,15,2,1,5,14,3,6,9,11,7,10,12,13,4,8,0,242.08
0.1,2,0,15,14,4,5,3,12,11,10,2,7,1,6,9,13,8,4617.89
0.1,2,3,15,4,9,0,8,12,6,7,5,1,13,2,11,14,10,4890.54
0.1,2,9,1,8,11,15,10,4,7,3,0,12,13,5,6,14,2,4723.13
0.1,2,8,6,0,4,15,10,11,13,3,9,12,2,1,7,14,5,4651.68
0.1,2,9,7,12,10,2,4,6,15,5,3,0,13,8,1,11,14,4729.11
0.1,2,10,8,4,5,0,3,14,1,6,9,2,15,7,12,11,13,4439.47
0.1,2,3,13,4,14,11,10,0,2,1,9,8,6,5,12,7,15,4716.02
0.1,2,9,7,4,1,8,12,15,13,14,11,2,10,5,3,0,6,4757.56
0.1,2,8,11,4,7,2,13,0,15,5,10,12,14,6,1,3,9,4622.46
0.1,2,14,6,4,11,15,0,2,10,3,8,5,1,9,12,7,13,4792.01
0.001,2,2,11,4,10,14,12,15,7,3,1,8,9,0,6,5,13,19.32
0.001,2,14,9,4,8,15,10,2,7,1,5,12,13,6,11,3,0,18.21
0.001,2,10,0,15,8,14,2,6,7,3,9,12,13,1,5,11,4,18.91
0.001,2,15,14,13,11,0,1,6,9,7,10,12,5,3,4,8,2,15.52
0.001,2,0,8,3,14,12,15,6,11,4,9,5,1,7,13,10,2,17.41
0.001,2,7,15,11,0,12,14,6,9,2,4,10,5,13,3,8,1,17.32
0.001,2,14,8,7,2,5,3,10,12,0,9,11,13,6,4,1,15,17.86
0.001,2,2,12,9,14,15,3,13,7,1,10,8,11,4,5,0,6,17.48
0.001,2,8,1,12,4,0,13,5,3,6,7,10,14,9,11,2,15,18.44
0.001,2,2,8,4,5,12,1,6,0,3,9,7,13,10,11,14,15,18.66
0.01,2,0,12,11,6,13,14,9,5,1,4,8,10,2,7,13,15,1050.92
0.01,2,10,15,7,13,5,14,1,3,6,9,4,11,8,12,0,2,1684.73
0.01,2,10,15,2,5,9,1,14,12,6,0,8,13,4,11,7,3,1269.16
0.01,2,6,7,3,14,1,4,12,10,8,9,5,11,2,13,0,15,1360.98
0.01,2,0,7,4,5,13,3,14,1,2,10,6,8,9,12,11,15,1051.48
0.01,2,14,1,15,8,0,12,3,2,9,4,5,13,7,11,6,10,705.81
0.01,2,14,8,12,5,9,3,15,1,10,0,7,4,6,2,13,11,932.57
0.01,2,12,10,3,0,1,11,6,5,2,9,8,7,4,13,14,15,1136.32
0.01,2,10,9,0,2,4,5,6,12,3,15,11,8,1,13,7,14,1187.95
0.01,2,9,2,15,14,11,1,6,7,3,0,10,4,5,12,13,8,1202.65
0.1,3,9,8,12,2,11,5,15,13,14,10,7,3,1,6,0,4,2778.34
0.1,3,9,7,4,5,13,12,14,2,3,1,10,6,8,0,11,15,2382.93
0.1,3,12,8,14,4,10,2,11,7,15,3,9,13,1,0,5,6,2363.77
0.1,3,15,6,8,0,2,14,13,12,7,11,5,4,10,1,9,3,2117.02
0.1,3,10,0,4,5,8,1,2,14,7,3,12,6,9,13,11,15,2470.59
0.1,3,7,2,14,11,5,4,6,0,3,9,12,10,8,1,13,15,2411.98
0.1,3,6,11,2,5,13,14,15,8,0,3,10,7,1,9,12,4,2459.77
0.1,3,10,13,9,7,15,3,14,12,8,2,4,6,1,5,11,0,2477.77
0.1,3,10,9,0,6,12,11,13,14,1,15,3,5,8,7,4,2,2318.45
0.1,3,2,3,13,5,4,0,6,10,14,11,1,15,12,7,8,9,2568.36
0.001,3,11,9,10,4,15,5,8,3,6,2,12,13,7,0,14,1,15.89
0.001,3,3,1,12,11,15,14,8,6,5,7,10,13,4,2,9,0,15.34
0.001,3,7,1,6,15,0,12,9,13,2,11,8,3,10,5,4,14,16.35
0.001,3,14,6,7,11,12,0,15,13,4,9,2,10,3,5,1,8,15.34
0.001,3,13,14,10,2,9,12,1,15,8,3,11,7,6,0,5,4,15.19
0.001,3,15,7,10,11,13,8,0,2,5,9,12,14,1,4,6,3,13.97
0.001,3,7,14,9,0,2,13,6,4,10,1,12,8,5,11,3,15,16.21
0.001,3,8,9,12,10,2,5,4,7,14,15,11,13,6,1,3,0,14.61
0.001,3,15,6,4,13,12,3,10,7,14,11,9,8,5,1,0,2,13.63
0.001,3,10,11,2,3,5,13,15,7,4,8,0,12,6,1,14,9,15.31
0.01,3,15,13,12,4,2,11,1,3,14,7,0,5,9,8,6,10,804.29
0.01,3,3,7,10,1,12,0,6,14,5,8,2,13,9,11,4,15,933.29
0.01,3,9,3,8,5,0,14,6,15,11,10,12,4,1,7,13,2,632.39
0.01,3,9,4,2,5,8,1,6,7,14,10,11,13,0,3,12,15,768.23
0.01,3,10,9,15,6,14,12,2,13,8,11,3,5,0,7,1,4,665.78
0.01,3,7,15,13,10,5,11,6,12,1,3,0,4,8,9,14,2,846.18
0.01,3,2,8,9,5,13,10,6,1,7,3,12,11,4,14,0,15,705.44
0.01,3,8,1,2,5,10,3,11,0,15,4,12,13,6,9,14,7,663.29
0.01,3,8,12,4,7,1,0,11,14,15,3,10,13,5,2,9,6,495.87
0.01,3,7,0,2,13,9,15,4,14,3,8,5,10,12,6,1,11,852.23
